institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/multimedia-programming-and-design/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/multimedia-programming-and-design/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Required Common Core,common_core,12,10,MAT 161,Topics in Quantitative Reasoning,3,,,,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Required Common Core,common_core,12,10,PHY 110,General Physics,4,,PHY 400,,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Flexible Core,flexible_core,6,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/multimedia-programming-and-design/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Flexible Core,flexible_core,6,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/multimedia-programming-and-design/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Flexible Core,flexible_core,6,20,MMD-AS-USEXP,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/multimedia-programming-and-design/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Program Requirements,program_required,24,30,MMP 100,Introduction to Multimedia,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Program Requirements,program_required,24,30,MMA 100,Foundations of Digital Graphic Design,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
BMCC,Media Arts and Technology,MMA,MMP_AS,Multimedia Programming and Design,AS,2025-2026,Program Requirements,program_required,24,30,MES 152,Introduction to Contemporary Media,3,,,,https://www.bmcc.cuny.edu/academics/departments/media-arts-and-technology/course-listings/
